order_id,customer_id,payment,order_date,delivery_date,delivery_time,churn
1,64,30811,2021-08-30,2021-09-24,25 days,0
2,473,50490,2021-02-03,2021-02-13,10 days,1
3,774,46763,2021-10-08,2021-11-03,26 days,0
4,433,39782,2021-05-06,2021-05-19,13 days,1
5,441,14719,2021-03-23,2021-03-24,1 days,1
6,800,16197,2021-09-09,2021-10-05,26 days,0
7,626,37666,2021-04-05,2021-04-11,6 days,1
8,58,28484,2021-04-12,2021-05-01,19 days,0
9,852,12896,2021-05-01,2021-05-11,10 days,1
10,659,21922,2021-10-15,2021-10-16,1 days,0
11,785,36624,2021-06-15,2021-06-30,15 days,1
12,120,55507,2021-06-30,2021-07-11,11 days,1
13,204,57810,2021-10-15,2021-10-31,16 days,0
14,957,21270,2021-03-29,2021-04-12,14 days,1
15,468,15488,2021-09-22,2021-10-08,16 days,0
16,564,36479,2021-07-07,2021-07-08,1 days,1
17,614,51822,2021-02-09,2021-02-11,2 days,1
18,299,22902,2021-01-01,2021-01-03,2 days,1
19,513,56754,2021-08-30,2021-09-10,11 days,0
20,789,45129,2021-01-13,2021-01-20,7 days,1
21,124,11261,2021-04-04,2021-04-17,13 days,1
22,180,36088,2021-05-28,2021-06-09,12 days,1
23,652,45711,2021-05-17,2021-05-22,5 days,1
24,469,14566,2021-09-04,2021-09-20,16 days,0
25,562,47075,2021-07-04,2021-07-08,4 days,1
26,732,15964,2021-04-25,2021-05-04,9 days,0
27,443,35513,2021-05-16,2021-05-28,12 days,0
28,206,29968,2021-08-19,2021-09-04,16 days,1
29,993,57645,2021-03-22,2021-03-28,6 days,1
30,260,59350,2021-07-07,2021-07-26,19 days,1
31,727,15722,2021-03-11,2021-04-05,25 days,0
32,627,24976,2021-06-17,2021-07-14,27 days,0
33,588,52945,2021-07-01,2021-07-07,6 days,1
34,412,36244,2021-05-23,2021-05-30,7 days,1
35,358,49665,2021-08-31,2021-09-07,7 days,0
36,51,32494,2021-08-22,2021-09-04,13 days,1
37,78,53949,2021-07-07,2021-07-18,11 days,1
38,809,46219,2021-02-03,2021-02-19,16 days,1
39,466,23990,2021-02-26,2021-03-20,22 days,1
40,86,56657,2021-01-07,2021-01-19,12 days,1
41,790,53386,2021-01-03,2021-01-09,6 days,1
42,690,33993,2021-07-29,2021-08-02,4 days,0
43,570,22839,2021-07-13,2021-08-03,21 days,1
44,849,17071,2021-09-07,2021-09-22,15 days,0
45,571,21738,2021-05-30,2021-06-21,22 days,1
46,922,25378,2021-06-22,2021-07-04,12 days,0
47,791,35453,2021-04-21,2021-04-23,2 days,1
48,620,31712,2021-04-16,2021-04-23,7 days,1
49,336,24219,2021-01-22,2021-02-13,22 days,1
50,454,50310,2021-09-16,2021-09-18,2 days,0
51,399,18423,2021-02-19,2021-02-26,7 days,1
52,493,32155,2021-10-06,2021-10-29,23 days,0
53,528,10517,2021-04-22,2021-05-02,10 days,0
54,195,13681,2021-04-25,2021-05-17,22 days,1
55,873,55650,2021-04-08,2021-04-25,17 days,1
56,587,17149,2021-01-23,2021-02-18,26 days,1
57,163,41495,2021-02-27,2021-03-13,14 days,0
58,332,42861,2021-02-02,2021-02-10,8 days,1
59,843,21858,2021-01-31,2021-02-27,27 days,1
60,301,31491,2021-02-05,2021-02-28,23 days,1
61,158,42290,2021-04-16,2021-04-28,12 days,1
62,93,37952,2021-07-30,2021-08-13,14 days,1
63,556,27577,2021-02-11,2021-03-08,25 days,0
64,167,23668,2021-01-24,2021-02-15,22 days,1
65,388,22051,2021-06-26,2021-07-22,26 days,1
66,631,42774,2021-08-14,2021-08-22,8 days,1
67,504,52694,2021-05-22,2021-06-17,26 days,1
68,180,20552,2021-02-12,2021-02-18,6 days,1
69,96,40619,2021-03-08,2021-03-28,20 days,0
70,802,11279,2021-05-15,2021-05-26,11 days,1
71,795,20283,2021-02-14,2021-02-16,2 days,1
72,610,40072,2021-03-13,2021-03-16,3 days,1
73,965,16715,2021-07-24,2021-08-19,26 days,1
74,391,39655,2021-02-23,2021-02-27,4 days,1
75,68,16667,2021-08-24,2021-09-15,22 days,0
76,470,22762,2021-06-18,2021-06-26,8 days,1
77,680,56675,2021-04-19,2021-04-29,10 days,1
78,681,58179,2021-05-13,2021-05-29,16 days,1
79,236,54340,2021-03-16,2021-03-25,9 days,1
80,872,59554,2021-04-26,2021-05-20,24 days,1
81,736,30150,2021-06-13,2021-06-15,2 days,1
82,927,32502,2021-02-02,2021-02-27,25 days,1
83,537,39729,2021-06-25,2021-07-01,6 days,1
84,181,43438,2021-08-26,2021-09-20,25 days,0
85,251,43533,2021-03-10,2021-03-22,12 days,1
86,874,27045,2021-08-05,2021-08-11,6 days,1
87,325,32961,2021-06-20,2021-07-16,26 days,1
88,567,10904,2021-07-19,2021-08-15,27 days,1
89,448,29268,2021-10-22,2021-11-16,25 days,0
90,809,11475,2021-06-13,2021-07-07,24 days,1
91,803,16601,2021-09-02,2021-09-15,13 days,0
92,273,37239,2021-01-12,2021-01-30,18 days,1
93,908,52379,2021-10-22,2021-11-11,20 days,0
94,629,47031,2021-03-08,2021-03-26,18 days,0
95,413,52416,2021-01-25,2021-02-05,11 days,1
96,415,12119,2021-06-20,2021-06-30,10 days,0
97,106,17772,2021-03-29,2021-03-31,2 days,1
98,257,44700,2021-04-29,2021-05-08,9 days,1
99,291,26787,2021-09-13,2021-09-25,12 days,0
100,817,57063,2021-03-30,2021-04-16,17 days,1
101,807,25174,2021-01-31,2021-02-27,27 days,1
102,846,41382,2021-05-07,2021-05-26,19 days,1
103,209,49852,2021-06-16,2021-06-24,8 days,1
104,366,11454,2021-06-05,2021-06-23,18 days,1
