order_id,customer_id,order_date,delivery_date,delivery_time,payment,churn
1,64,2021-08-30,2021-09-24,25 days,1487.0,0
2,473,2021-02-03,2021-02-13,10 days,1130.0,1
3,774,2021-10-08,2021-11-03,26 days,508.0,0
4,433,2021-05-06,2021-05-19,13 days,976.0,1
5,441,2021-03-23,2021-03-24,1 days,2043.0,1
6,800,2021-09-09,2021-10-05,26 days,732.0,0
7,626,2021-04-05,2021-04-11,6 days,523.0,1
8,58,2021-04-12,2021-05-01,19 days,299.0,0
9,852,2021-05-01,2021-05-11,10 days,1315.0,1
10,659,2021-10-15,2021-10-16,1 days,874.0,0
11,785,2021-06-15,2021-06-30,15 days,461.0,1
12,120,2021-06-30,2021-07-11,11 days,714.0,1
13,204,2021-10-15,2021-10-31,16 days,1583.0,0
14,957,2021-03-29,2021-04-12,14 days,1254.0,1
15,468,2021-09-22,2021-10-08,16 days,1365.0,0
16,564,2021-07-07,2021-07-08,1 days,1786.0,1
17,614,2021-02-09,2021-02-11,2 days,670.0,1
18,299,2021-01-01,2021-01-03,2 days,952.0,1
19,513,2021-08-30,2021-09-10,11 days,1244.0,0
20,789,2021-01-13,2021-01-20,7 days,1557.0,1
21,124,2021-04-04,2021-04-17,13 days,494.0,1
22,180,2021-05-28,2021-06-09,12 days,973.0,1
23,652,2021-05-17,2021-05-22,5 days,563.0,1
24,469,2021-09-04,2021-09-20,16 days,322.0,0
25,562,2021-07-04,2021-07-08,4 days,527.0,1
26,732,2021-04-25,2021-05-04,9 days,614.0,0
27,443,2021-05-16,2021-05-28,12 days,1136.0,0
28,206,2021-08-19,2021-09-04,16 days,2267.0,1
29,993,2021-03-22,2021-03-28,6 days,892.0,1
30,260,2021-07-07,2021-07-26,19 days,1243.0,1
31,727,2021-03-11,2021-04-05,25 days,441.0,0
32,627,2021-06-17,2021-07-14,27 days,742.0,0
33,588,2021-07-01,2021-07-07,6 days,1355.0,1
34,412,2021-05-23,2021-05-30,7 days,709.0,1
35,358,2021-08-31,2021-09-07,7 days,1166.0,0
36,51,2021-08-22,2021-09-04,13 days,1150.0,1
37,78,2021-07-07,2021-07-18,11 days,1415.0,1
38,809,2021-02-03,2021-02-19,16 days,466.0,1
39,466,2021-02-26,2021-03-20,22 days,2066.0,1
40,86,2021-01-07,2021-01-19,12 days,1004.0,1
41,790,2021-01-03,2021-01-09,6 days,525.0,1
42,690,2021-07-29,2021-08-02,4 days,528.0,0
43,570,2021-07-13,2021-08-03,21 days,580.0,1
