Metrik,Deger
Toplam Gelir (TL),1031800
Aylık Ortalama Gelir (TL),103180
Günlük Ortalama Gelir (TL),3546
Haftalık Ortalama Gelir (TL),23995
Ortalama Büyüme Oranı (%),-2
Toplam Müşteri Sayısı,616
Müşteri Başına Ortalama Gelir (TL),1675
Toplam Ürün Sayısı,1233
Ürün Başına Ortalama Gelir (TL),837
Toplam Tahmini Kâr (TL),400744
Ortalama Kâr Marjı (%),38
Yüksek Kârlı Ürün Sayısı,102
Düşük Kârlı Ürün Sayısı,275
Toplam Satılan Ürün Sayısı,9962
Toplam Sipariş Sayısı,993
Ortalama Sipariş Değeri (TL),1039
