Product,Recommendation 1,Recommendation 2,Recommendation 3
Camp Collared (Shirt),Slim-Fit (Trousers),Cords (Trousers),Denim (Shirt)
Casual Slim Fit (Shirt),Windbreaker (Jacket),Slim-Fit (Trousers),Pleated (Trousers)
Bomber (Jacket),Linen (Shirt),Oxford Cloth (Shirt),Casual Slim Fit (Shirt)
Flannel (Shirt),Shearling (Jacket),Slim-Fit (Trousers),Denim (Shirt)
Cargo Pants (Trousers),Joggers (Trousers),Chinos (Trousers),Casual Slim Fit (Shirt)
Joggers (Trousers),Cargo Pants (Trousers),Henley (Shirt),Slim-Fit (Trousers)
Denim (Shirt),Relaxed Leg (Trousers),Flannel (Shirt),Joggers (Trousers)
Coach (Jacket),Shearling (Jacket),Henley (Shirt),Camp Collared (Shirt)
Cardigan (Jacket),Henley (Shirt),Cropped (Trousers),Puffer (Jacket)
Henley (Shirt),Cardigan (Jacket),Joggers (Trousers),Coach (Jacket)
Linen (Shirt),Bomber (Jacket),Slim-Fit (Trousers),Casual Slim Fit (Shirt)
Puffer (Jacket),Wool (Trousers),Denim (Jacket),Joggers (Trousers)
Cords (Trousers),Mandarin Collar (Shirt),Camp Collared (Shirt),Parka (Jacket)
High-Waisted (Trousers),Tracksuit Bottoms (Trousers),Joggers (Trousers),Denim (Jacket)
Chambray (Shirt),Relaxed Leg (Trousers),Pullover (Jacket),Shearling (Jacket)
Parka (Jacket),Slim-Fit (Trousers),Cords (Trousers),Henley (Shirt)
Denim (Jacket),Puffer (Jacket),Cropped (Trousers),Drawstring (Trousers)
Leather (Jacket),Pullover (Jacket),Trench Coat (Jacket),Oxford Cloth (Shirt)
Pleated (Trousers),Casual Slim Fit (Shirt),Flannel (Shirt),Henley (Shirt)
Cuban Collar (Shirt),Slim-Fit (Trousers),Henley (Shirt),Trench Coat (Jacket)
Dress (Shirt),Joggers (Trousers),High-Waisted (Trousers),Henley (Shirt)
Slim-Fit (Trousers),Camp Collared (Shirt),Casual Slim Fit (Shirt),Joggers (Trousers)
Chinos (Trousers),Cargo Pants (Trousers),Slim-Fit (Trousers),Pleated (Trousers)
Oxford Cloth (Shirt),Bomber (Jacket),Denim (Shirt),Trench Coat (Jacket)
Polo (Shirt),Slim-Fit (Trousers),Casual Slim Fit (Shirt),Cargo Pants (Trousers)
Cropped (Trousers),Cardigan (Jacket),Denim (Jacket),Oxford Cloth (Shirt)
Drawstring (Trousers),Denim (Jacket),Casual Slim Fit (Shirt),Bomber (Jacket)
Mandarin Collar (Shirt),Cords (Trousers),Henley (Shirt),Slim-Fit (Trousers)
Pullover (Jacket),Leather (Jacket),Camp Collared (Shirt),Chambray (Shirt)
Trench Coat (Jacket),Slim-Fit (Trousers),Oxford Cloth (Shirt),Camp Collared (Shirt)
Relaxed Leg (Trousers),Denim (Shirt),Joggers (Trousers),Chambray (Shirt)
Shearling (Jacket),Flannel (Shirt),Coach (Jacket),Bomber (Jacket)
Peacoat (Jacket),Joggers (Trousers),Casual Slim Fit (Shirt),Coach (Jacket)
Tracksuit Bottoms (Trousers),High-Waisted (Trousers),Bomber (Jacket),Drawstring (Trousers)
Windbreaker (Jacket),Casual Slim Fit (Shirt),Henley (Shirt),Pleated (Trousers)
Wool (Trousers),Puffer (Jacket),Chambray (Shirt),Drawstring (Trousers)
